LON,LAT,EDO,CLAVE,ESTACION,mar-22
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0.0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0.0
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0.0
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",3.0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0.0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.1
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",0.0
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju·rez, Chih. SMN*",1.0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",0.0
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0.0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0.0
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0.0
-106.445278,31.756944,CHIH,CILANORTE,"CILA Norte, Chih. SGT*",0.3
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",2.0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0.0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0.0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",0.0
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0.0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0.0
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",0.0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0.0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0.0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",1.9
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0.0
-107.879167,26.870833,CHIH,INGCH,"San Ignacio, Chih.",0.0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",4.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0.0
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0.0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0.0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0.0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.0
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0.0
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0.0
